id,_total_events_param,_false_alarm_pct_param,_malicious_count_param,_benign_count_param,_false_alarm_count_param,timestamp,src_host,dst_host,src_ip,dst_ip,src_subnet,dst_subnet,proto,sport,dport,service,duration,bytes,packets,sttl,dttl,state,sloss,dloss,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,label,_unsw_row_id,scenario_name,_source,phase
12,30,0.15,7,19,4,405.0535528810336,Enterprise2,external_OpHost1,10.0.2.12,OpHost1,Subnet 2 (Enterprise),External,rdp,48387,5000,-,5e-06,200,2,254,0,INT,0,0,4,13,Reconnaissance,Malicious,74926,passwd_gzip_scp,UNSW_actual,progression
13,30,0.15,7,19,4,500.26535969683863,Enterprise2,external_OpHost2,10.0.2.12,OpHost2,Subnet 2 (Enterprise),External,udp,4967,5000,-,8e-06,104,2,254,0,INT,0,0,2,9,Fuzzers,Malicious,93780,passwd_gzip_scp,UNSW_actual,progression
14,30,0.15,7,19,4,602.9825647602997,Enterprise2,external_Defender,10.0.2.12,Defender,Subnet 2 (Enterprise),External,tcp,45548,5000,-,1.118959,918,18,254,252,FIN,2,1,1,1,Reconnaissance,Malicious,78388,passwd_gzip_scp,UNSW_actual,progression
15,30,0.15,7,19,4,609.2745843380148,Enterprise2,external_9,10.0.2.12,203.0.45.116,Subnet 2 (Enterprise),External,tcp,26240,20484,smtp,0.1,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type1,
16,30,0.15,7,19,4,759.7482665666928,Enterprise2,external_OpHost0,10.0.2.12,OpHost0,Subnet 2 (Enterprise),External,tcp,19542,5000,-,0.51401,1880,22,254,252,FIN,3,2,3,10,Fuzzers,Malicious,52012,passwd_gzip_scp,UNSW_actual,progression
17,30,0.15,7,19,4,908.1741222090483,external_external_179,external_scp_1,external_179,203.0.64.232,External,External,gmtp,28281,5000,-,7e-06,200,2,254,0,INT,0,0,2,2,DoS,Malicious,54890,passwd_gzip_scp,UNSW_actual,objective
18,30,0.15,7,19,4,1053.3066093306104,external_User3,external_scp_1,User3,203.0.64.232,External,External,tcp,6922,5000,-,0.074756,67754,146,31,29,FIN,7,30,1,1,Normal,Malicious,27940,passwd_gzip_scp,UNSW_actual,objective
19,30,0.15,7,19,4,1203.8992558068367,Enterprise2,User0,10.0.2.12,10.0.1.10,Subnet 2 (Enterprise),Subnet 1 (User),tcp,31171,80,http,0.5,500,5,31,29,FIN,6,6,2,4,Normal,Benign,14668,passwd_gzip_scp,UNSW_benign,
20,30,0.15,7,19,4,1209.6716376833465,Enterprise2,external_33,10.0.2.12,203.0.46.65,Subnet 2 (Enterprise),External,tcp,64664,49052,http,0.492314,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type1,
21,30,0.15,7,19,4,1293.2876998870688,Enterprise2,external_60,10.0.2.12,203.0.135.59,Subnet 2 (Enterprise),External,tcp,22891,3389,rdp,30.0,5000,50,31,29,CON,0,0,1,4,Normal,Benign,4339,passwd_gzip_scp,UNSW_benign,
22,30,0.15,7,19,4,1401.9567270675761,Enterprise2,Enterprise0,10.0.2.12,10.0.2.10,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,13109,80,http,0.621764,500,5,254,252,FIN,5,3,2,7,Normal,Benign,40934,passwd_gzip_scp,UNSW_benign,
23,30,0.15,7,19,4,1404.1503099107952,Enterprise2,external_64,10.0.2.12,203.0.141.229,Subnet 2 (Enterprise),External,udp,26934,53,dns,1.744544,50,1,62,252,FIN,2,2,1,2,Normal,Benign,45056,passwd_gzip_scp,UNSW_benign,
24,30,0.15,7,19,4,1460.3726031366891,User2,external_56,10.0.1.12,203.0.107.12,Subnet 1 (User),External,tcp,1236,25,smtp,1.0,132755,265,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type2,
25,30,0.15,7,19,4,1484.749436634746,User4,external_97,10.0.1.14,203.0.68.219,Subnet 1 (User),External,tcp,43030,53,dns,1.1970249000000002,150245,300,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type2,
26,30,0.15,7,19,4,1553.5594103255453,User1,Enterprise2,10.0.1.11,10.0.2.12,Subnet 1 (User),Subnet 2 (Enterprise),tcp,33120,3389,rdp,30.0,5000,50,31,29,FIN,1,2,1,4,Normal,Benign,29352,passwd_gzip_scp,UNSW_benign,
27,30,0.15,7,19,4,1618.883636992936,Enterprise1,Enterprise2,10.0.2.11,10.0.2.12,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,16065,80,http,1.098881,500,5,31,29,FIN,3,5,1,4,Normal,Benign,30874,passwd_gzip_scp,UNSW_benign,
28,30,0.15,7,19,4,1683.4915510996848,Enterprise0,external_57,10.0.2.10,203.0.13.150,Subnet 2 (Enterprise),External,tcp,14619,22,ssh_admin,10.0,200,10,31,29,FIN,21,197,3,3,Normal,Benign,33393,passwd_gzip_scp,UNSW_benign,
29,30,0.15,7,19,4,1685.658274006696,User0,User3,10.0.1.10,10.0.1.13,Subnet 1 (User),Subnet 1 (User),tcp,7515,3389,rdp,30.0,5000,50,31,29,FIN,7,24,1,1,Normal,Benign,39558,passwd_gzip_scp,UNSW_benign,
30,30,0.15,7,19,4,1774.3278433240687,Enterprise2,Enterprise1,10.0.2.12,10.0.2.11,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,12321,80,http,1.501572,500,5,254,252,FIN,27,1,1,2,Normal,Benign,44164,passwd_gzip_scp,UNSW_benign,
